author,citations,description,title,url
HJ Paton - 1971 - books.google.com,,"… I have chosen as my title 'The Categorical Imperative' because this looms so large, both in 
Kant's thinking and in the commonly accepted views about him; but it will become clear in the …",The categorical imperative: A study in Kant's moral philosophy,https://books.google.com/books?hl=en&lr=&id=8Y7RS1cM9KUC&oi=fnd&pg=PA13&dq=kant+categorical+imperative+&ots=L2T5X9fYN9&sig=S9q4jvCTZeba4dXc1JZ6fqFWY54
T Pogge,,"… In view of Kant's adamant insistence that the categorical imperative is not a version of the 
Golden Rule (G, 430n), we cannot take literally the paraphrase in his first discussion of the …",The categorical imperative,https://books.google.com/books?hl=en&lr=&id=-7F4BUYuunoC&oi=fnd&pg=PA189&dq=kant+categorical+imperative+&ots=1jVrCasQ6f&sig=-fe2e17EJyVXx5-_3rq9mE3vW6c
I ,,"… But if I think of categorical imperative, I know immediately what it contains. For since the 
imperative contains besides the law only the necessity that the maxim'should accord with this law…",The categorical imperative,https://books.google.com/books?hl=en&lr=&id=DMbKBgAAQBAJ&oi=fnd&pg=PA96&dq=kant+categorical+imperative+&ots=gaLHQnaTo9&sig=BsFYvSMEMUV5-_9Eq2X4oRwMcTs
P Guyer,,"… Kant says that ""with the categorical imperative"" we have ""a synthetic-practical proposition a 
priori,"" a claim he explains by saying that in the categorical imperative, … categorical imperative …",The possibility of the categorical imperative,https://www.jstor.org/stable/2185633
MG Singer,,"… What is most important here is that this argument is certainly not an application of the 
categorical imperative. And in fact Kant does not apply the categorical imperative at all in this essay…",The categorical imperative,https://www.jstor.org/stable/2182292
MD White,,"… First, we will discuss the nature of Kantian duty and the moral rule, the categorical imperative, 
from which duty stems. Second, we explain Kant’s understanding of autonomy or freedom, …",Can homo economicus follow Kant's categorical imperative?,https://www.sciencedirect.com/science/article/pii/S1053535703001045
J Kemp,,"In his article on Kant's Examples of the First Formulation of the Ca Imperativel Mr. Jonathan 
Harrison has combined an exegesis of s Kant's views with a criticism of them. My purpose …",Kant's examples of the categorical imperative,https://www.jstor.org/stable/2216857
P Kitcher,,"… the proposition that can alone be a categorical imperative.... when I think of a categorical 
imperative, I know at once what it contains. For since the imperative contains, beyond the law, …",Kant's argument for the categorical imperative,https://www.jstor.org/stable/3506214
A Bordum,,"… categorical imperative. Charles Dunbar Broad finds three different formulations of the categorical 
imperative … in the entry on the categorical imperative in A Kant Dictionary (1995: 100–1)…","Immanuel Kant, Jürgen Habermas and the categorical imperative",https://journals.sagepub.com/doi/abs/10.1177/0191453705057307
SP Engstrom - 2009 - degruyter.com,,"… In the teachings of Kant, we find modern philosophy’s most systematic and deeply … as an 
imperative in practical consciousness. In advancing this proposition, Kant espouses a doctrine …",The form of practical knowledge: A study of the categorical imperative,https://www.degruyter.com/document/doi/10.4159/9780674053793-prf/html
"M Ruffing, RR Terra, V Rohden - 2008 - philpapers.org",,"… Terra &amp; Valerio Rohden, Why Are Kant’s Hypothetical and Categorical Imperatives 
Analytic and Synthetic A Priori Practical Propositions? - PhilPapers … Terra &amp; Valerio …",Why Are Kant's Hypothetical and Categorical Imperatives Analytic and Synthetic A Priori Practical Propositions?,https://philpapers.org/rec/RUFWAK
TE Hill,,"… categorical moral imperatives, such maximizing principles could be in irreconcilable conflict 
with them: a categorical imperative … Kant's Hypothetical Imperative, by contrast, can always …",Kant's theory of practical reason,https://www.jstor.org/stable/27903146
門脇卓爾,,"&lt;書評&gt;H・J・ぺートン「定言的命法」The Categorical Imperative : A Study in Kant's Moral 
Philosophy. By HJ … &lt;書評&gt;H・J・ぺートン「定言的命法」The Categorical Imperative : A Study …","&lt; 書評&gt; H・J・ぺートン 「定言的命法」 The Categorical Imperative: A Study in Kant's Moral Philosophy. By HJ Paton. The University of Chicago Press, 1948. Pp …",https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/272961/1/jps_37_06_363.pdf
